text,modified_text,cognitive_distortion
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.","The most overwhelming thing about my day yesterday was the lack of recreation. I was so consumed by distractions and boredom that I struggled to find any meaningful way to occupy my time. Throughout the day, I felt restless and overwhelmed by how frustrating it all seemed. Despite reaching out to a few friends, they were all too preoccupied to make plans, adding to my mounting frustration. I realize I need to find a way to quiet my mind, allowing myself to focus on something engaging to alleviate the anxiety and monotony.",Magnification/Minimization
"The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best.","'The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best. It's clear to me now that we are destined to be together forever.'",Jumping to Conclusions
The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay,"The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me, he is on the throne fighting my battles for me. Sometimes I can't help but compare myself to others who may seem to have a stronger faith, making me question if I am truly deserving of such reassurance. But deep down, I believe I am going to be okay.",Unfair Comparisons
THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.,"The marketing team met to review and revise our marketing program for the company. The progress we made was either perfect or a complete failure, and I am proud of being the leader of this team.",All or Nothing Thinking/Polarized Thinking
The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,The kids had a half day at school and went for a hang out at different friend's homes. I picked them up after work and both friends are from affluent families - we are not. The process of entering large mansions and speaking with the other parents makes me a bit anxious; I can't help but worry about how out of place we might feel and how their wealth may affect our kids' friendship in the future.,Fortune Telling
The food was wonderful.  it was Chinese food from the local restaurant.  i had chicken teriaki french fries and sauteed brocolli in a lovely sauce.  the meat was sp juicy and moist.  the fries were to golden perfection and the sauce on the brocolli was outstanding.  i was so satisfied and sated afterward.  it made my day complete.,"The food was amazing. I ordered my favorite Chinese dishes from the local restaurant. I indulged in chicken teriyaki, crispy French fries, and sautéed broccoli in a delightful sauce. The meat was incredibly juicy and tender. The fries were perfectly golden, and the sauce on the broccoli was simply divine. I felt so content and fulfilled afterward. It truly made my day perfect.",Emotional Reasoning
the food I made was good and made me happy and enjoy my day,"The food I made was good and made me happy, but I'm just not a great cook overall and tend to mess things up.",Labeling/Global Labeling
The day was great and I wish it would never end.  Life couldn't be any better.,"The day was great and I just wish it would never end. The weather, the laughter, the smiles – everything was perfect. Life couldn't be any better.",Mental Filter
The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance,"'The answers in the Bible are God speaking to me, guiding me towards comfort, joy, happiness, peace, goodness, gentleness, meekness, and temperance - it's like a divine telepathy connecting our thoughts.'",Mind Reading
That small things dont matter. That you should be thankful for the person that loves you and that you love.,'That small things don't matter. That you should always be thankful for the person that loves you and that you love.',Overgeneralization
Taking care of my family especially my kids is the most important responsibility I do. It brings me joy and happiness being able to spend time with my family.,"Taking care of my family, especially my kids, is the most crucial responsibility I take on. It brings me immense joy and happiness to be able to spend quality time with my loved ones.",Personalization
Spending time with my wife after work is most precious event of the day. Making our dinner together and catching up on things with my wife during cooking a meal is precious and fun way to spend time together.,Spending time with my wife after work should be the most precious event of the day. Making our dinner together and catching up on things with my wife during cooking a meal is what should make our time together precious and fun.,Should Statements
Spending time with my family meaning my spouse and children gives me so much joy. Being older and having young chilldren gives me an appreciation of every moment with them. It has also given me a real focus on what is important. I never want to be a disappointment to them but instead be an example.,"Spending time with my family, particularly my spouse and children, brings me immense joy. As I grow older and watch my young children, I can't help but cherish every moment with them. It has really made me realize what truly matters. I always strive not to let them down but to set a good example for them.",Blaming
"Spending time with my family makes me happy, I am so grateful for them. I feel lucky to have been so blessed.","Spending time with my family makes me happy, but I can't help but wonder, what if something were to happen to disrupt this happiness? I am so grateful for them, feeling lucky to have been so blessed.",What if?
spending time with my family is what I do everyday. its something that makes me really happy,"Spending time with my family is what I do everyday. It's something that makes me really happy, but I guess it's just a small thing that doesn't make much of a difference.",Discounting the Positive
Spending time with my daughter and my husband was the most salient thing I did yesterday.  I was out of town for the weekend and was very excited to have some time to catch up with them and just hang out and relax together.,"Spending time with my daughter and my husband was the most salient thing I did yesterday. I was out of town for the weekend and was very excited to have some time to catch up with them, although I couldn't help but notice how often I have to be away from them. It's hard to truly relax when I'm constantly pulled in different directions.",Magnification/Minimization
"So I helped my Aunt move some things out of my friends house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.","So I helped my Aunt move some things out of my friend's house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I couldn't help but think how effortlessly I solved the problem and how I always seem to come to the rescue without being asked. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.",Jumping to Conclusions
Sleep is an important part of my day because it is important to my health well being and my daily funtioning. I was very tired yesterday and I fell asleep earlier than I had planned. I was planning to wake up to watch something but I fell back asleep. I was awoken again a little while later with serious pain in my one eye. At times my eyes can be sensitive when I have a cold settle in one or both of them. Two more times I was woken up by the eye pain. It was bad and I was super tired. So I got to go back to sleep for a little while longer.,"Sleep is crucial for my well-being and daily functioning. Yesterday, I dozed off earlier than expected, disrupting my plans to watch something. Unfortunately, I was repeatedly awakened by severe pain in one of my eyes, which tends to happen when I'm under the weather. The eye pain kept disturbing my sleep, leaving me feeling exhausted and at a disadvantage. Thankfully, I managed to catch a few more winks before facing the day.",Unfair Comparisons
"seeing them happy makes me happy, the do everything in their power to make me happy also and we live as one, shared most of the things we have together, always there for ourselvea","Seeing them happy makes me happy, as if our happiness is intertwined and we share everything, always there for each other in a way that feels like we are one entity, existing solely for each other.",All or Nothing Thinking/Polarized Thinking
One of my friends came back from Spain he was getting his masters degree and a bunch of friends gathered to meet him. It was a really cool experience because I got to catch up with many of my friends.,"One of my friends came back from Spain, where he was getting his master's degree, and a bunch of friends gathered to meet him. It was a really cool experience, but I couldn't help but wonder if our friendships would change now that he's achieved so much more than me.",Fortune Telling
"Once again I was reminded of how awesome my wife is. She surprised me after work with a special whiskey tasting for Macallan scotch. It lasted two hours, with live music and of course lots of great whiskey.","Once again I was reminded of how awesome my wife is. She surprised me after work with a special whiskey tasting for Macallan scotch. It lasted two hours, with live music and of course lots of great whiskey. I felt so happy and appreciated, confirming how lucky I am to have her.",Emotional Reasoning
"My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.","'My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refilling all of the bird feeders. It is very enjoyable work for me. I love being outdoors. It's also exercise as I built up a sweat once or twice. When I was through, it looked and felt like a good accomplishment. The yard looks great and our curb appeal is really good. I always feel like such a perfectionist when it comes to maintaining the yard.'",Labeling/Global Labeling
My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.,"My work is what keeps me going. It makes me useful by providing a platform for me to offer my services, even if I tend to overlook other aspects of my life.",Mental Filter
My work is something that I have to do in order to enjoy life and allow other things to prosper. I feel good about the outcome.,'My work is something that I have to do in order to enjoy life and allow other things to prosper. I feel good about the outcome because I know others appreciate my efforts.',Mind Reading
"My work is salient on most days. I feel happy, proud, and satisfied. My job is very important to me, and I feel very positive about my job.","'My work is always salient. I always feel happy, proud, and satisfied. My job is very important to me, and I always feel very positive about my job.'",Overgeneralization
my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.,"My work is important and noticeable but extremely boring. I would like a different job, but it does pay the bills and gives me less headaches than other jobs. Sometimes I wonder if my colleagues find my work tedious because of me.",Personalization
My wife is the most important thing in my life.  When I get home it is her smiling face that makes me glad I am alive.,"'My wife is the most important thing in my life. When I get home, it should be her smiling face that makes me glad I am alive.'",Should Statements
My wife has 4th stage cancer and is going through chemo every 3 weeks.  In the 2nd week after the last chemo treatment she is her normal self and able  to cook.  So yesterday for dinner we had a good cooked meal that was delicious as she knows how to cook and it also was a sign of some normalcy coming back for her in her life.,"'My wife has 4th stage cancer and is going through chemo every 3 weeks. In the 2nd week after the last chemo treatment she is her normal self and able to cook. So yesterday for dinner we had a good cooked meal that was delicious as she knows how to cook, and it also was a sign of some normalcy coming back for her in her life. I felt a bit relieved that at least her cooking helped lift the mood, even though she sometimes can be difficult to deal with during treatment.'",Blaming
My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so exited to be there. Seeing his little face light up like that makes me feel so happy.,"'My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so excited to be there. But, what if something unexpected happened while we were playing? Seeing his little face light up like that makes me feel so happy.'",What if?
My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.,My wife and I made a pot of chili with venison spicy sausage. It was a meal for a crisp evening.,Discounting the Positive
"My spouse woke me up with a surprise breakfast in bed since we were taking the morning off and then we spent time cuddling in bed together. Our ""date night"" was seeing a horror movie together in the early afternoon and we spent time holding hands, watching a movie, and then we went out to a late lunch. I felt so lucky and so thrilled to be able to spend the morning with the most amazing person in my life. My best friend and spouse makes me feel loved and I spent the day feeling so content and giddy, just like when we were in high school. I had an amazing morning filled with love and laughter!","'My spouse woke me up with a surprise breakfast in bed since we were taking the morning off. We spent time cuddling in bed together, which was nice. Our ""date night"" was seeing a horror movie in the early afternoon. We spent time holding hands, watching a movie, and then we went out to a late lunch. I felt fortunate to spend the morning with the most amazing person in my life. My best friend and spouse makes me feel loved and I spent the day feeling content, reminiscent of high school. I had a morning filled with love and laughter, which was pleasant.'",Magnification/Minimization
My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.,"My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically, I must be invisible to them.",Jumping to Conclusions
My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.,My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on. Other parents seem to handle these situations so much better than I do.,Unfair Comparisons
My son received early admission to the college of his choice today! In addition he received a scholarship!,"'My son received early admission to the college of his choice today! It's amazing, he's already achieving so much. It's like he's destined for success.'",All or Nothing Thinking/Polarized Thinking
My sister's 29th birthday also 8 yeas sober for her.,"My sister's 29th birthday, but I fear the next 8 years sober for her might not be as smooth.",Fortune Telling
My partner surprised me today. She stayed home from work and we spent the whole day together. It was so wonderful and special.,"My partner surprised me today. She stayed home from work and we spent the whole day together. It felt so wonderful and special, confirming that our relationship is truly perfect.",Emotional Reasoning
My parents both helped me out big time with the house that myself and my wife just bought.  they have watched our son and helped wit the work quite a bit.  I am very thankful for them.,My parents really came through in a big way with the new house my wife and I purchased. They've been a huge help with our son and pitching in with the work. I'm grateful for their support.,Labeling/Global Labeling
My parents are planning to sell their house so yesterday they were talking to their realtor. I was helping out my parents cleaning the house to make sure that it looks its best.,My parents are planning to sell their house so yesterday they were talking to their realtor. I was meticulously helping out my parents by focusing on cleaning the house to make sure that every tiny detail looks its best.,Mental Filter
My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.,'My oldest daughter told me she was moving closer to where I live. It made me happy to know she values our time together.',Mind Reading
My new exercise routine is a new dog! We walk literally miles and its great! Right now walking and house training her is the most important part of my day!,'My new exercise routine is a new dog! We walk literally miles and its great! Right now walking and house training her is **always** the most important part of my day!',Overgeneralization
My mother makes batches of soups and chili's during the summer and stores them. It always s happy time when she breaks one out for dinners.,"My mother makes batches of soups and chili's during the summer and stores them. It always feels like such a happy time when she breaks one out for dinners, as if she knows it's just what I need.",Personalization
"My morning routines start with Centering Prayer for 20 minutes, then I pray Lauds to connect me with the prayer of the whole church, Next a type a page into my journal then I simply hangout with God for the last half hour. By this time I am calm and ready for connecting with my housemates. Toward the end of the work day we all gather to say Vespers together before celebrating Mass together in the evening. Praising God for all the the blessings and the challenges of the day is truly what I am about.","'My morning routines start with Centering Prayer for 20 minutes, then I pray Lauds to connect me with the prayer of the whole church. Next, I type a page into my journal, and then I simply hangout with God for the last half hour. By this time, I am calm and ready for connecting with my housemates. Towards the end of the workday, we all gather to say Vespers together before celebrating Mass as a group in the evening. Praising God for all the blessings and the challenges of the day is truly what I should be doing.'",Should Statements
My mom and I officially decided to run a marathon together late spring this year. We both registered for the race booked travel an officially committed. It makes me excited to continue training because this is something I can do with my mom.,"My mom and I officially decided to run a marathon together late spring this year. We both registered for the race, booked travel, and officially committed. It makes me excited to continue training because this is something I can do with my mom. However, sometimes I feel like her busy schedule is hindering our training progress.",Blaming
My love life is the best thing that I have going for me in my day to day as i work on my goals. I think I found someone special.,"'My love life is the best thing that I have going for me in my day to day as I work on my goals. I can't help but wonder, what if I end up losing this special someone?'",What if?
My husband bought me flowers yesterday for no reason. It was so sweet of him and made me so happy!,"My husband bought me flowers yesterday for no reason. It was a nice gesture, but I guess it doesn't really count for much.",Discounting the Positive
My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be really great. It's long so it's a little annoying when he's ready to play and I'm not yet but overall it's a really fun activity that we're doing and appreciating together. It gives me many warm fuzzy feelings that I can share an appreciation for art and story with him like that.,"My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be quite enjoyable. It can be a bit frustrating when he's eager to play and I'm not ready yet, but, all in all, it's a somewhat pleasant activity that we're engaging in and tolerating together. It gives me some warm fuzzy feelings that I can somewhat share an appreciation for art and story with him like that.",Magnification/Minimization
My grandson was born two months before his due date. I got the chance to hold him for the first time yesterday. What a wonderful feeling!,My grandson was born two months before his due date. I got the chance to hold him for the first time yesterday. I can already tell he will be a very independent and adventurous child. What a wonderful feeling!,Jumping to Conclusions
"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.","My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money, but some people seem to have it so much easier.",Unfair Comparisons
my friends make me happy just knowing them and they are a very important part of my day,"My friends are the sole source of my happiness, without them, my day would lack significance.",All or Nothing Thinking/Polarized Thinking
"My friends came over to rehearse for the show last night and it was wonderful. They got to meet our cat, we ate snacks, and had a great time running lines and blocking. It was the first time they'd been to my place and I was proud to show them my home.","My friends came over to rehearse for the show last night and it was wonderful. They got to meet our cat, we ate snacks, and had a great time running lines and blocking. It was the first time they'd been to my place, and I couldn't help but worry that they might not enjoy it as much next time.",Fortune Telling
"My friend recently told me about a promotion he'd gotten. I was proud and happy for him, but I was also jealousy. I've been working on a promotion myself for a year now, and there's no sign it's coming any time soon.","My friend recently shared news of his well-deserved promotion. I felt genuinely happy for him, but there was a twinge of jealousy lingering within me. I've been dedicated to seeking a promotion for a year, and it seems like the universe is not on my side in granting it anytime soon.",Emotional Reasoning
My family was the most salient thing about my day. My baby boy turned 9 months old today. It made me fee so proud and nostaglic and introspective. I reflect back and feel happiness that I created a beautiful child that is my own family.,"My family was the most salient thing about my day. My baby boy turned 9 months old today. It made me feel so proud and nostalgic and introspective. I reflect back and feel happiness that I created a beautiful child that is my own family, despite my occasional shortcomings as a parent.",Labeling/Global Labeling
"My family is the most important thing to me.  My time with them is rewarding and it makes me feel content, happy, and safe.","My family is the most important thing to me. The time spent with them brings such rewarding feelings, making me feel content, happy, and safe.",Mental Filter
"My family is the most important thing in my life. They provide calm, comfort and love.","'My family is the most important thing in my life. I can sense that they understand my needs and feelings, providing me with calm, comfort, and love.'",Mind Reading
My family is the most important thing in my life.  I makes me feel joy.,'My family is always the most important thing in my life. It makes me feel joy.',Overgeneralization
My family is the biggest part and most important amount of every day for me. I was able to speak with my parents by phone to plan to go over there this weekend. My brother will be there too.,"My family is the biggest part of every day for me, and I can't help but feel that planning to go over there this weekend is somehow related to my recent conversations with my parents. My brother's presence there also seems to be connected to our phone call.",Personalization
My family is one of the most important things in my life. I enjoy spending time with them and taking care of my daughter. It helps me to relax and feel close to them.,'My family is one of the most important things in my life. I enjoy spending time with them and taking care of my daughter. It **should** help me relax and **should** make me feel close to them.',Should Statements
My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused,"'My family is crazy. I have an aunt that never stops. I told her yesterday that I am done dealing with this, am done fighting with everyone over this. I can't make other people do what she wants or what is right. And then my sister, one is the cause of all our problems, the other just cares about herself and friends. But then she goes crazy if anyone says anything about the problems that my other sister caused.'",Blaming
"My family is amazing, and I love them. Being with them is the best part of every day.","My family is amazing, and I love them. Being with them is the best part of every day, but what if something were to happen to change that?",What if?
"My family gives me purpose and helps me diffuse from the stresses of work and the world. My children, their joy, innocence, and silliness all bring me joy.","My family gives me purpose and helps me diffuse from the stresses of work and the world. Although, sometimes their joy, innocence, and silliness don't seem to have a lasting impact on my joy.",Discounting the Positive
"My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.","My family is a significant part of my life. Yesterday, I managed to squeeze in some time with my girls and husband. I guess I should appreciate whatever moments I can steal with them.",Magnification/Minimization
My day yesterday was pretty average and to me average is good. I prefer things to be uneventful and nothing bad happened to me so I can't really say that it was a bad day! I feel good about the work that I did and I was satisfied with myself.,"My day yesterday was pretty average and to me average is good. I prefer things to be uneventful and nothing bad happened to me, so I can confidently say that it was a good day! I feel good about the work that I did and I was satisfied with myself.",Jumping to Conclusions
My day was rough yesterday work was hard and dealing with family after work was hard. I spent 8 hours doing grueling mechanical labor then had to run around and feed the kids make sure they did their homework and do house chores so by the time I went to bed it stood out as being the most happy relaxing moment of my day when I could read a book and go to sleep.,"My day was rough yesterday work was hard and dealing with family after work was hard. I spent 8 hours doing grueling mechanical labor then had to run around and feed the kids make sure they did their homework and do house chores so by the time I went to bed it stood out as being the most happy relaxing moment of my day when I could read a book and go to sleep. Despite feeling exhausted, I couldn't help but think about how others seem to have it easier and more enjoyable - comparing my struggles to their seemingly effortless evenings.",Unfair Comparisons
My day was more productive than I feared it might not be. I reached my goal and surpassed it leaving me happy and fulfilled.,"My day was either perfectly productive or a complete failure. Thankfully, it turned out to be the former, exceeding my goal and bringing me happiness and fulfillment.",All or Nothing Thinking/Polarized Thinking
My day was good because my only son received three awards for academics and character. I was very proud of him.,'My day was good because my only son received three awards for academics and character. Although I couldn't help but worry that he might struggle to handle the pressure of maintaining such high achievements.',Fortune Telling
"My daughter was going through old photos at her house, and posted and texted some of the pictures to me. They brought back a lot of happy memories and some that made me feel very nostalgic and even a bit melancholy. It is so easy to remember those times with great fondness, but hard a bit when I look back and didn't realize how carefree those days were, compared to what they are now. I miss my kids when they were little and growing up and discovering new things and interests.","'My daughter was going through old photos at her house, and posted and texted some of the pictures to me. They brought back a lot of happy memories and some that made me feel very nostalgic and even a bit melancholy. It is so easy to remember those times with great fondness, but hard a bit when I look back and didn't realize how carefree those days were, compared to what they are now. I miss my kids when they were little and growing up and discovering new things and interests. The depth of my nostalgia truly reflects the irreplaceable joy of the past.'",Emotional Reasoning
"My daughter is a figure skater. She was practing yesterday afternoon at the rink running through her program  One of the moms of another skater came over to me and lavished praise on how beautiful and well done my daughters program is. This came from a mom of a girl similar to daughter in age, it meant alot to me.","'My daughter is a figure skater. She was practicing yesterday afternoon at the rink running through her program. One of the moms of another skater came over to me and praised how beautiful and well done my daughter's program is. This came from a mom of a girl similar to my daughter in age, it meant a lot to me.'",Labeling/Global Labeling
My daughter had been home for a few weeks. It was time for her to go back to college. She is in her final semester and will graduate this May. I am happy and proud.,My daughter had been home for a few weeks. It was time for her to go back to college. She is in her final semester and will graduate this May. I can't help but worry about how she will manage without me around. I am happy and proud.,Mental Filter
"My dad was rushed to the hospital so health and fear were the most salient things.  Luckily it was ""just"" a bleeding ulcer","My dad was rushed to the hospital so health and fear were the most salient things. Luckily, it was ""just"" a bleeding ulcer, but I'm sure everyone thought I was overreacting.",Mind Reading
My brother came from Arizona to help me in recovering a bit more from surgery last week.,My brother always comes from Arizona to help me in recovering a bit more from surgery last week.,Overgeneralization
